,Domain,Page rank integer,Page rank decimal,Site Rank,Domain registrar,Postal code,Country of origin,Harmless,Malicious,Suspicious,Undetected,Timeout,No. of Local links,No. of Outbound links,Total links,Links to fake news site?,Wordpress?,Site Rating
0,actionnews3.com,3,2.82,7390112,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,16,1,17,FALSE,TRUE,Fake
1,abcnews-us.com,3,2.89,6579810,NamePal.com #8009 Inc.,32256,US,86,0,0,10,0,0,1,1,FALSE,FALSE,Fake
2,21stcenturywire.com,5,4.57,66742,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,183,36,219,FALSE,TRUE,Fake
3,100percentfedup.com,4,4.15,778723,"GoDaddy.com, LLC",85284,US,84,1,0,11,0,49,8,57,FALSE,TRUE,Fake
4,abcnews.com,5,4.78,32787,"CSC CORPORATE DOMAINS, INC.",10023-6298,US,83,0,0,13,0,0,144,144,FALSE,FALSE,Fake
5,activistpost.com,5,4.79,31957,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,41,11,52,FALSE,TRUE,Fake
6,breakingnews365.net,3,3.23,3948929,GANDI SAS,75013,FR,86,0,0,10,0,49,2,51,FALSE,FALSE,Fake
7,breakingnews247.net,3,3.14,4573046,GANDI SAS,75013,FR,86,0,0,10,0,49,2,51,FALSE,FALSE,Fake
8,beforeitsnews.com,5,4.71,40489,"GoDaddy.com, LLC",85284,US,82,1,0,13,0,94,5,99,FALSE,FALSE,Fake
9,chronicle.su,4,4.07,1211140,RUCENTER-SU,,,84,0,0,12,0,21,20,41,FALSE,TRUE,Fake
10,civictribune.com,3,3.45,2918346,"Name.com, Inc.",80201,US,85,0,0,11,0,24,1,25,FALSE,TRUE,Fake
11,clickhole.com,5,4.67,45328,"TUCOWS, INC.",M6K 3M1,CA,83,0,0,13,0,34,5,39,FALSE,FALSE,Fake
12,coasttocoastam.com,5,4.53,76629,"MarkMonitor, Inc.",,US,84,0,0,12,0,53,19,72,FALSE,TRUE,Fake
13,consciouslifenews.com,4,4.27,277396,"NameCheap, Inc.",,,84,0,0,12,0,181,11,192,FALSE,TRUE,Fake
14,creambmp.com,3,3.38,3152375,"GoDaddy.com, LLC",85284,US,82,1,0,13,0,66,0,66,FALSE,TRUE,Fake
15,dailybuzzlive.com,4,3.94,1372349,"GoDaddy.com, LLC",85284,US,84,0,0,12,0,18,14,32,FALSE,TRUE,Fake
16,dcclothesline.com,4,4.03,1271577,"Launchpad, Inc. (HostGator)",65708,US,86,0,0,10,0,39,4,43,FALSE,TRUE,Fake
17,disclose.tv,5,4.65,49911,,,,86,0,0,10,0,0,0,0,FALSE,TRUE,Fake
18,duffleblog.com,1,0.68,115417002,ABOVE.COM PTY LTD.,,HK,86,0,0,10,0,0,0,0,FALSE,FALSE,Fake
19,embols.com,2,2.46,12624737,DropCatch.com 1111 LLC,102,BG,85,1,0,10,0,0,0,0,FALSE,FALSE,Fake
20,endingthefed.com,4,3.76,1738520,DYNADOT LLC,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,84,1,0,11,0,0,0,0,FALSE,FALSE,Fake
21,enduringvision.com,3,2.95,5918551,NAMECHEAP INC,101,IS,85,0,0,11,0,59,6,65,FALSE,FALSE,Fake
22,fprnradio.com,3,2.9,6379580,"NameSilo, LLC",85016,US,86,1,0,9,0,69,6,75,FALSE,TRUE,Fake
23,geoengineeringwatch.org,4,4.4,128517,"GoDaddy.com, LLC",REDACTED FOR PRIVACY,US,83,0,0,13,0,238,25,263,FALSE,TRUE,Fake
24,globalresearch.ca,5,5.19,15265,easyDNS Technologies Inc.,,,83,0,0,13,0,221,26,247,FALSE,TRUE,Fake
25,humansarefree.com,4,4.15,828515,NAMECHEAP INC,101,IS,83,0,0,13,0,6,227,233,FALSE,TRUE,Fake
26,ifyouonlynews.com,4,4.22,428495,"GoDaddy.com, LLC",85284,US,87,0,0,9,0,0,6,6,FALSE,FALSE,Fake
27,infowars.com,5,5.12,16648,Epik Holdings Inc,98004,US,86,0,0,10,0,45,12,57,FALSE,FALSE,Fake
28,inquisitr.com,5,5.32,7164,NAMECHEAP INC,101,IS,84,0,0,12,0,62,3,65,FALSE,FALSE,Fake
29,landoverbaptist.org,4,4.08,1203085,FastDomain Inc.,REDACTED FOR PRIVACY,US,83,0,0,13,0,41,16,57,FALSE,FALSE,Fake
30,lewrockwell.com,5,5.02,19453,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,53,4,57,FALSE,TRUE,Fake
31,libertytalk.fm,3,3.39,3131883,Instra Corporation Pty Ltd,,,85,1,0,10,0,22,10,32,TRUE,TRUE,Fake
32,mediamass.net,3,3.33,3382625,GANDI SAS,REDACTED FOR PRIVACY,CN,83,0,0,13,0,14,1,15,FALSE,FALSE,Fake
33,nationalreport.net,4,4.22,434368,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,61,7,68,FALSE,TRUE,Fake
34,naturalnews.com,6,5.65,4635,Epik Holdings Inc,98004,US,83,0,0,13,0,79,108,187,FALSE,FALSE,Fake
35,news-hound.com,2,1.97,30620586,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,0,12,12,FALSE,FALSE,Fake
36,newsbiscuit.com,4,3.97,1327544,"TUCOWS, INC.",REDACTED FOR PRIVACY,GB,84,0,0,12,0,45,24,69,FALSE,FALSE,Fake
37,newswire-24.com,3,3.12,4647444,"GoDaddy.com, LLC",85284,US,85,1,0,10,0,78,15,93,FALSE,TRUE,Fake
38,nodisinfo.com,4,3.91,1412104,"Network Solutions, LLC",32256,US,86,0,0,10,0,0,0,0,FALSE,TRUE,Fake
39,nowtheendbegins.com,4,4.29,231617,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,253,7,260,FALSE,TRUE,Fake
40,prisonplanet.com,4,4.47,94558,Epik Holdings Inc,98004,US,84,0,0,12,0,0,10,10,FALSE,FALSE,Fake
41,realfarmacy.com,4,4.05,1247175,NAMECHEAP INC,101,IS,83,0,0,13,0,78,214,292,FALSE,TRUE,Fake
42,realnewsrightnow.com,4,3.79,1699263,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,85,1,1,9,0,50,8,58,FALSE,TRUE,Fake
43,rilenews.com,2,2.27,17732619,Domainplace LLC,49418,US,85,0,0,11,0,0,0,0,FALSE,FALSE,Fake
44,realfarmacy.com,4,4.05,1247175,NAMECHEAP INC,101,IS,83,0,0,13,0,78,214,292,FALSE,TRUE,Fake
