Statement,Rating
"Lalaki patay sa pamamaril sa Tondo, Maynila",Real
"50 Pinoy na naipit sa kaguluhan sa Sudan, nailikas na",Real
#BoyingResign: Netizens galit kay DOJ Chief Remulla matapos mahulihan ng ‘high-grade’ marijuana ang anak,Real
‘Backdoor entry’ ng Grab sa motorcycle taxi pilot pinaiimbestigahan,Real
Doktor nangangamba na na-mild stroke si De Lima,Real
Japan Coast Guard nagpasalamat sa PCG sa pagsagip sa Japanese crew na nakaranas ng maritime accident,Real
Employment rate umangat noong Pebrero,Real
"'Amang' nag-landfall sa Lagonoy, Camarines Sur; 11 lugar nasa ilalim ng Signal no. 1",Real
Robinhood Padilla nais gawing legal ang paggamit ng medical marijuana,Real
Pangulong Duterte sinisisi ang sarili sa kakulangan ng COVID-19 vaccines,Real
Isabela LGU posibleng natagpuan na ang bahagi ng nawawalang Cessna plane,Real
9 tips para makatipid ng tubig sa panahon ng tag-init ,Real
"Bagyong Obet posible pang lumakas, Signal no. 1 nakataas sa bahagi ng Northern Luzon",Real
Download speed sa fixed broadband internet ng bansa muling tumaas,Real
"580 preso sabay-sabay pinalaya, karamihan dahil sa 'good behavior'",Real
"Bitay sa mga sangkot sa ilegal na droga, itutulak muli ni Rep. Barbers",Real
Pagiging No. 3 ni Robin Padilla sa survey ipinagtanggol ng ipaTUPAD partylist: Huwag natin siyang husgahan,Real
"Jeepney group, nanawagan sa LTFRB na palawigin ang deadline sa implementasyon ng jeepney modernization program",Real
"Lanao del Sur Gov. Adiong, sugatan sa ambush; 4 na kasamahan, patay",Real
Pasahe sa LRT nagbabadyang tumaas matapos aprubahan ng LTFRB,Real
"DICT: Deadline ng SIM registration, Abril 26 pa rin",Real
"Anak nina Luis Manzano at Jessy Mendiola na si Baby Peanut bininyagan na, Alex Gonzaga, Nikki Gil tumayong mga ninang",Real
PNP magde-deploy ng mas maraming pulis ngayong kapaskuhan,Real
Teves humingi ng tulong kay PBBM sa umano’y panggigipit ng ilang opisyal,Real
"DSWD, UP tutulong na habulin ang ‘child support’ mula sa mga magulang sa ibang bansa",Real
"Ilang lugar sa Visayas, Mindanao positibo sa ‘red tide’ – BFAR",Real
Anak ni DOJ Chief Remulla ‘not guilty’ sa kasong illegal drug possession,Real
NGO nababahala sa pagkalat ng Covid-19 sa inililikas dahil sa nag-aalburutong Bulkang Taal,Real
"Dating Japanese PM Shinzo Abe, pumanaw na matapos barilin",Real
"Romualdez, dismayado sa pagkadawit ng ilang PNP officials sa P6.7 billion shabu",Real
Higit 300 manlalaro lumahok sa finals ng Rodeo Masbateño,Real
"Bong Go: China-Taiwan tension, OFWs tiyaking ligtas",Real
"Giant billboard ni Imelda Marcos trending sa social media, bakit kaya?",Real
"Grupo, nanawagan sa DepEd at CHEDna tugunan ang tinwag nilang vape epidemic sa mga kabataang Pilipino",Real
Support group nais mapalaya na ang pinakamatandang bilanggong-pulitikal,Real
Oriental Mindoro maaaring makaranas ng blackout,Real
Walang Pilipinong kabilang sa mga namatay sa banggaan ng 2 tren sa Greece,Real
"Kampo ni Cong. Teves, ki-nuwestyong ang narekober na granada sa kaniyang tahanan",Real
New Year message ni PBBM sa mga Filipino-Chinese: Have deeper compassion to those who have less in life,Real
"P4.7-B halaga ng service contracting payouts naibigay na sa mga driver, operator",Real
"Mga opisyal ng barangay sa San Jose del Monte, nag-sorry sa Grab rider kaugnay sa kontrobersiya ng lugaw",Real
"Mambabatas, naghain ng resolusyon upang imbestigahan ang kuwestyonableng third-party auditor ng Pagcor",Real
Globe #PlantHappinessPH mental health campaign umani ng higit sa 168.7 milyong views sa TikTok,Real
"Kakulangan ng imprastraktura at resources, nakikitang ‘most pressing issue’ na kinakaharap ng sektor ng edukasyon sa bansa",Real
"QC traffic enforcer, nakapagsagip ng siklista bago masagasaan at mamatay",Real
Panukala na magbabawal sa ‘substitution of candidacy’ inihain sa Kamara,Real
"Pangulong Marcos: Pabahay kada taon, lalampas sa 1 milyon",Real
Pagsusuot ng face shield hindi na kinakailangan sa Maynila maliban sa mga medical facilities,Real
"PopCom naaalarma sa bilang ng ‘teen pregnancy’, ang pinakabata nasa edad 10",Real
"2 batang magkapatid, patay sa sunog sa Mandaluyong",Real
Signal no. 1 nakataas pa rin sa bahagi ng Luzon; classes suspension idineklara sa ilang probinsya,Real
"Balikatan Exercises 2023, all set na!",Real
PPA may libreng pagkain sa mga mai-stranded na pasahero sa pantalan,Real
Partial solar eclipse nasilayan sa iba-ibang lugar sa PH,Real
"Rider, nangholdap ng isang cake shop sa Quezon City",Real
Manny Villar nangunguna sa ‘Richest Filipinos’ ng Forbes magazine,Real
"Mga dumalo sa UniTeam rally nawalan ng cellphone, wallet: Parang awa n’yo na po pakisauli na lang po",Real
Mahihirap sa Bacolod City tinulungan ni Bong Go,Real
"Apela ng Newsnet, ibinasura ng Palasyo",Real
"PNP CIDG, binasura ang pagkakasangkot ng mga police escorts ni Gov. Degamo sa pagpatay",Real
"MMDA: Number coding scheme, suspendido mula April 6-10",Real
P128 milyong pondo nakalaan para sa mga biktima ng Tropical Storm Maring,Real
"Panukalang naglalayong suspendihin ang Mother Tongue bilang medium ng pagtuturo sa mga bata, lusot na sa ikalawang pagbasa ng Kamara",Real
"Mahigit P6.8M halaga ng 'shabu', nasabat sa buy-bust operation sa Taguig",Real
"Takot ng mga Filipino sa COVID 19, ‘record high’ – SWS survey",Real
DOTr maghihigpit ng seguridad sa MRT-3 matapos tumalon ang isang pasahero,Real
"Barbie Forteza pinapili kung love o career, netizens bumilib sa sagot",Real
"Hirit ng transport group na P3 dagdag sa pasahe, pinalagan",Real
‘Oldest Pinoy’ Lola Francisca Susano pumanaw na sa edad 124,Real
Gobyerno wala nang gagawing aksyon matapos ibasura ng ICC ang apela ng bansa na suspendihin ang imbestigasyon sa drug war,Real
"Ika-apat na mananaya, nanalo ng jackpot sa lotto sa loob ng isang linggo",Real
"Kaso ng COVID-19 sa Pilipinas, sumampa na sa higit 784,000",Real
Kampo ng pinaslang na ex-mayor sa Ateneo campus umalma sa isyu ng ilegal na droga: That is not true!,Real
FDA: 18 na bata nakaranas ng ‘side effect’ dahil sa Sangobion Kids syrup,Real
"Mexican beauty queen at kaniyang partner, kulong sa pagsikwat ng mga alak sa Spain",Real
Sotto hinikayat ang gobyerno na magpatupad ng price freeze sa mga lugar na apektado ng bagyong Odette,Real
Bwelta ni Bongbong sa mga bashers: Hindi ako duwag na tao…wala akong iniiwasan,Real
Dahilan ng paglihis ng tren 'di pa tukoy ng PNR,Real
"Mag-asawa, 3 anak patay sa sunog, natagpuan ng mga rumespondeng fire marshall na magkakayakap",Real
"Infinite Radio sa Calbayog, nagdiwang ng ikalawang anibersaryo",Real
"Senador, nais paimbestigahan ang operasyon ng PCSO dahil sa mga katanungan kung may mga lehitimong nananalo sa lotto grand prize",Real
"Provisional toll rates sa Skyway Stage 3, aprubado na",Real
Lalaki huli sa pangmomolestiya ng menor de edad sa QC,Real
"13,000 MT ng imported galunggong, dumating na sa bansa",Real
PBA: Mapait ang Game 4 loss para kay Standhardinger,Real
"DOE, tiniyak na walang red o yellow alert sa Malampaya maintenance",Real
"Panel review result sa mga PNP officials re: illegal drug trade, matatapos na sa loob ng 2 linggo",Real
"Suspensiyon ni Trump sa Facebook, tatagal pa hanggang 2023",Real
Posts navigation,Real
Pagpapatuloy ng allowance sa mga healthworkers ipinag-utos ng Pangulo,Real
Teves dadalo sa Senate probe ng Degamo slay,Real
"PCSO umaasa sa malaking kita sa Sweepstakes, malnutrisyon lalabanan",Real
"Biyahe ng PNR sa Maynila, naantala dahil sa kotseng bumalandra sa riles",Real
"Senador, humiling ng isang congressional inquiry sa status ng pagpapatupad ng Anti-Bullying Act",Real
LOOK: Mga lugar na nakasailalim sa lockdown sa QC,Real
Karagdagang alokasyon ng tubig sa MWSS kakayanin: NWRB,Real
P1.6B inilaan para sa rehabilitasyon ng Manila Bay,Real
Vico Sotto hindi apektado sa cyberlibel case na isinampa ni Iyo Bernardo: It’s nothing personal…,Real
Knows n’yo na ba kung paano maiiwasan ang ‘heatstroke’ lalo na ngayong tag-init?,Real
Juan Ponce Enrile tinamaan ng COVID-19: I’m not gonna die yet,Real
"Mundo ni Teves paliliitin, ituturing na terorista ng DOJ",Real
LTO pinaigting ang kampanya laban sa ‘overloading’ vehicles,Real
101% itinaas sa kaso ng typhoid – DOH,Real
KILALANIN: Top 30 Bar passers para sa taong 2022,Real
"Marcos, bumuo ng inter-agency committtee na tututok sa inflation",Real
Mga Teves kinatatakutan umanong pamilya sa Negros Oriental,Real
Paggamit ng face shield pinag-aaralang ibalik sa harap ng banta ng Omicron,Real
Ilang lugar sa Maynila magpapatupad ng ‘liquor ban’ ,Real
Presyo ng petrolyo may 'dagdag-bawas' sa Abril 18,Real
"Nanay sa Pasig, pinatay ng kaniya umanong sariling anak",Real
3 patay sa salpukan ng motor at kotse sa Batangas,Real
Remulla may mensahe kay Teves Jr. ngayong panahon ng Semana Santa,Real
"Kongreso, tinaasan ang cancer funds ng mga Pilipino sa P1.56B",Real
"2 lalaki, huli sa ilegal umanong pagbebenta ng e-cigarettes at vape products",Real
20 probinsiya na lang ‘di napapasok ng ASF,Real
Brigada News Philippines,Real
"Bulkang Mayon nagtala ng mga pagyanig, nakataas pa rin ang ‘alert level 2’",Real
"Bong Go sa Linggo ng Pagkabuhay: ‘Wag mawalan ng pag-asa, tiwala sa sarili",Real
"Hugis-pusong clearing sa isang woodland, ginawa ng isang farmer para sa kanyang namayapang asawa",Real
COVID-19 aakyat sa 600 kada araw sa Mayo – DOH,Real
"Pagsugpo sa mga pang-aabuso sa paaralan pinaigting, DepEd naglunsad ng ‘helpline’",Real
"Dayuhang nagmamaltrato sa asawang Pinay sa Cebu, arestado",Real
"Marcos, inaasahang magsasagawa ng state visit sa France",Real
Teves camp umaasang hindi magiging witch hunt ang senate hearing sa Degamo slay case,Real
MRT-3 may libreng sakay sa mga beterano sa April 10 to 12,Real
"Senador, nanawagan sa Philhealth na bigyan ng kaunting kaluwagan ang mga OFWs sa pagbabayad sa kanilang premium contributions",Real
VP Leni Robredo kakandidatong pangulo ng bansa: ‘Buong-buo ang loob ko’,Real
Marcos: Hindi na kailangang mag-import ng mga produkto sakaling malakas na ang MSMEs,Real
VG Jolo Revilla prayoridad na itaas ang sahod ng mga manggagawang Caviteño,Real
"Ex-DFA sec. Albert del Rosario, pumanaw na",Real
"Ayuda ng DSWD, suspendido muna ngayong Holy Week",Real
"Grab, nangako kay Pangulong Marcos ng kalahating milyong trabaho para sa mga Pilipino",Real
Lutong Pinoy gustong ipakilala ni Loren Legarda sa buong mundo,Real
"BI, inaasahang papalo sa 50K ang bilang ng mga arrivals para sa Holy Week",Real
"Barker sa Quezon City, binaril ng taxi driver dahil daw sa P5",Real
"Remote work sa Facebook, may forever na",Real
"DOH nakapagtala ng halos 1,500 na kaso ng HIV noong Enero",Real
Ina ni Dr. Chao Tiao Yumol nanawagan kay Bongbong Marcos: Nasa panganib kami!,Real
5.3 lindol yumanig sa ilang bahagi ng Luzon,Real
"Dating pulis na sangkot sa pagpatay 2 teenager, hinatulan ng korte ng  hanggang 40 taong pagkakakulong",Real
