Statement,Rating,cleaned,cleaned tokenized,period%,comma%,colon%,semicolon%,question mark%,exclamation mark%,dash%,apostrophe%,close parenthesis%,capitalized%,slang words%,curse words%,with numericals%,bigrams,trigrams
"Lalaki patay sa pamamaril sa Tondo, Maynila",Real,lalaki patay pamamaril tondo maynila,"['lalaki', 'patay', 'pamamaril', 'tondo', ',', 'maynila']",0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['lalaki patay', 'patay pamamaril', 'pamamaril tondo', 'tondo maynila']","['lalaki patay pamamaril', 'patay pamamaril tondo', 'pamamaril tondo maynila']"
"50 Pinoy na naipit sa kaguluhan sa Sudan, nailikas na",Real,50 pinoy naipit kaguluhan sudan nailikas,"['50', 'pinoy', 'naipit', 'kaguluhan', 'sudan', ',', 'nailikas']",0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,"['50 pinoy', 'pinoy naipit', 'naipit kaguluhan', 'kaguluhan sudan', 'sudan nailikas']","['50 pinoy naipit', 'pinoy naipit kaguluhan', 'naipit kaguluhan sudan', 'kaguluhan sudan nailikas']"
#BoyingResign: Netizens galit kay DOJ Chief Remulla matapos mahulihan ng ‘high-grade’ marijuana ang anak,Real,boyingresign netizens galit kay doj chief remulla matapos mahulihan high grade marijuana anak,"['#', 'boyingresign', ':', 'netizens', 'galit', 'kay', 'doj', 'chief', 'remulla', 'matapos', 'mahulihan', '‘', 'high-grade', '’', 'marijuana', 'anak']",0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,"['boyingresign netizens', 'netizens galit', 'galit kay', 'kay doj', 'doj chief', 'chief remulla', 'remulla matapos', 'matapos mahulihan', 'mahulihan high', 'high grade', 'grade marijuana', 'marijuana anak']","['boyingresign netizens galit', 'netizens galit kay', 'galit kay doj', 'kay doj chief', 'doj chief remulla', 'chief remulla matapos', 'remulla matapos mahulihan', 'matapos mahulihan high', 'mahulihan high grade', 'high grade marijuana', 'grade marijuana anak']"
‘Backdoor entry’ ng Grab sa motorcycle taxi pilot pinaiimbestigahan,Real,backdoor entry grab motorcycle taxi pilot pinaiimbestigahan,"['‘', 'backdoor', 'entry', '’', 'grab', 'motorcycle', 'taxi', 'pilot', 'pinaiimbestigahan']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['backdoor entry', 'entry grab', 'grab motorcycle', 'motorcycle taxi', 'taxi pilot', 'pilot pinaiimbestigahan']","['backdoor entry grab', 'entry grab motorcycle', 'grab motorcycle taxi', 'motorcycle taxi pilot', 'taxi pilot pinaiimbestigahan']"
Doktor nangangamba na na-mild stroke si De Lima,Real,doktor nangangamba mild stroke de,"['doktor', 'nangangamba', 'na-mild', 'stroke', 'de']",0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,"['doktor nangangamba', 'nangangamba mild', 'mild stroke', 'stroke de']","['doktor nangangamba mild', 'nangangamba mild stroke', 'mild stroke de']"
Japan Coast Guard nagpasalamat sa PCG sa pagsagip sa Japanese crew na nakaranas ng maritime accident,Real,japan coast guard nagpasalamat pcg pagsagip japanese crew nakaranas maritime accident,"['japan', 'coast', 'guard', 'nagpasalamat', 'pcg', 'pagsagip', 'japanese', 'crew', 'nakaranas', 'maritime', 'accident']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,"['japan coast', 'coast guard', 'guard nagpasalamat', 'nagpasalamat pcg', 'pcg pagsagip', 'pagsagip japanese', 'japanese crew', 'crew nakaranas', 'nakaranas maritime', 'maritime accident']","['japan coast guard', 'coast guard nagpasalamat', 'guard nagpasalamat pcg', 'nagpasalamat pcg pagsagip', 'pcg pagsagip japanese', 'pagsagip japanese crew', 'japanese crew nakaranas', 'crew nakaranas maritime', 'nakaranas maritime accident']"
Employment rate umangat noong Pebrero,Real,employment rate umangat noong pebrero,"['employment', 'rate', 'umangat', 'noong', 'pebrero']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['employment rate', 'rate umangat', 'umangat noong', 'noong pebrero']","['employment rate umangat', 'rate umangat noong', 'umangat noong pebrero']"
"'Amang' nag-landfall sa Lagonoy, Camarines Sur; 11 lugar nasa ilalim ng Signal no. 1",Real,'amang' landfall lagonoy camarines sur 11 lugar nasa signal no 1,"['&apos;', 'amang', '&apos;', 'nag-landfall', 'lagonoy', ',', 'camarines', 'sur', ';', '11', 'lugar', 'nasa', 'signal', 'no', '.', '1']",0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0,0.10526315789473684,"[""'amang' landfall"", 'landfall lagonoy', 'lagonoy camarines', 'camarines sur', 'sur 11', '11 lugar', 'lugar nasa', 'nasa signal', 'signal no', 'no 1']","[""'amang' landfall lagonoy"", 'landfall lagonoy camarines', 'lagonoy camarines sur', 'camarines sur 11', 'sur 11 lugar', '11 lugar nasa', 'lugar nasa signal', 'nasa signal no', 'signal no 1']"
Robinhood Padilla nais gawing legal ang paggamit ng medical marijuana,Real,robinhood padilla gawing legal paggamit medical marijuana,"['robinhood', 'padilla', 'gawing', 'legal', 'paggamit', 'medical', 'marijuana']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['robinhood padilla', 'padilla gawing', 'gawing legal', 'legal paggamit', 'paggamit medical', 'medical marijuana']","['robinhood padilla gawing', 'padilla gawing legal', 'gawing legal paggamit', 'legal paggamit medical', 'paggamit medical marijuana']"
Pangulong Duterte sinisisi ang sarili sa kakulangan ng COVID-19 vaccines,Real,pangulong duterte sinisisi kakulangan covid 19 vaccines,"['pangulong', 'duterte', 'sinisisi', 'kakulangan', 'covid-19', 'vaccines']",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,"['pangulong duterte', 'duterte sinisisi', 'sinisisi kakulangan', 'kakulangan covid', 'covid 19', '19 vaccines']","['pangulong duterte sinisisi', 'duterte sinisisi kakulangan', 'sinisisi kakulangan covid', 'kakulangan covid 19', 'covid 19 vaccines']"
