Article_Headline,Statement_Filipino,Statement_English,Rating,Statement_Filipino_Language,Statement_English_Language
"vera files fact check: marcos, tulfo not closing down naia",“KAKAPASOK LANG SAWAKAS  NAIA SARADO NA! SEN TULFO SUMABOG sa GALIT NILUSOB ang NAIA mga BUWAYA IYAK .”,sic,Fake,TAGALOG,ENGLISH
vera files fact check: claim about a ph-us deal to build a nuclear facility misleads,"“Breaking news! Pilipinas, magkaka-nuclear na! Biden, nakaplano na ang uumpisahang deal kasama si President Ferdinand Marcos Jr. tungkol sa itatayong nuclear facility sa Pilipinas !”",The Philippines will now have nuclear [energy]! [U.S. President Joe] Biden has planned a deal with President Ferdinand Marcos Jr. about a nuclear facility to be built in the Philippines,Fake,TAGALOG,ENGLISH
vera files fact check: false video links hontiveros to 2014 philhealth bonus controversy anew,“KAKAPASOK LANG PRES MARCOS MARCOLETA HAWAK ang mga DOCUMENTO HONTlVEROS SC HlNATULAN PHILHEALTH 2014 .”,JUST IN PRES MARCOS MARCOLETA HAVE THE DOCUMENTS HONTIVEROS SC RELEASED VERDICT [on] PHILHEALTH 2014,Fake,TAGALOG,TAGALOG
"vera files fact check: us, ph soldiers did not expel chinese ships from south china sea","“US AT PILIPINAS, NAGPADALA NG 17,680 NA SUNDALO SA SOUTH CHINA SEA! MGA CHINESE BOATS NAPAALIS NA !”","U.S. and the Philippines sent 17,680 soldiers to the South China Sea! Chinese boats driven out",Fake,TAGALOG,ENGLISH
vera files fact check: marcos did not shut down meralco,“KAKAPASOK LANG OMG! mga OLlGARKO NAPRANlNG na MERALCO SARADOnani PBBM TULFO SUMALUDO DlLAWAN lYAK .”,JUST IN OMG! OLIGARCHS BECAME PARANOID MERALCO SHUT DOWN BY PBBM TULFO SALUTED YELLOWS WEEP,Fake,TAGALOG,ENGLISH
vera files fact check: doctor on tiktok claim that oral glutathione helps reverse fatty liver is unproven,"“Hindi po nakakasira, actually baliktad. Hindi siya nakakasira, nakakatulong pa siya sa sakit na kung tawagin ay NAFLD or non-alcoholic fatty liver disease.”

Source: Alvin Francisco Official Tiktok Account , Tiktok Gluta capsules: Safe ba sa liver?… , March 25, 2023, watch from 0:22 to 0:30","It’s not destructive, actually it’s the opposite. It’s not destructive, it actually helps with  the disease called NAFLD or non-alcoholic fatty liver disease.",Fake,TAGALOG,ENGLISH
vera files fact check: video falsely claims cayetano has been removed as senator,“KAKAPASOK LANG UMAMIN NA! CAYETANO NAMUTLA sa TAKOT hindi NAKALIGTAS kay PRES BBM SENADO SININGIL NA ”,"Just in, they confessed! Cayetano paled in fear, not unscathed from President Marcos. Senate, charged!",Fake,TAGALOG,ENGLISH
vera files fact check: marcos sr.’s false bar exam grade reappears after release of 2022 bar results,,"“UP Diliman student, Ferdinand Marcos took the 1939 bar exam and his unofficial grade was almost 98%. This was the highest score ever in history of Philippine bar exams  at that time so he was apparently called to appear before the Supreme Court for an oral re-examination after which his official grade was released as 92.35%.”",Fake,ENGLISH,ENGLISH
"vera files fact check: ‘super meal mix nuts’ ads to fight diabetes, cancer are a scam","“Nakagugulat na balita, ni-raid ng mga pulis sa Maynila ang sikat na SM Mall sa Asia kahapon para alamin kung bakit libu-libong tao ang nagtipon sa mahabang pila. Sa pagdating, natuklasan ko na si Dr.WiIIIie-0ng … ay naglulunsad ng Super Meal Mix Nuts”
","Shocking news, the police raided the popular SM Mall of Asia in Manila yesterday to find out why thousands of people are gathering in the long line. Upon arrival, I discovered that [popular cardiologist Doc Willie Ong] is launching Super Meal Mix Nuts.",Real,TAGALOG,ENGLISH
"vera files fact check: video does not show china, ph ‘battle’ in pag-asa island",“CHINA VS PILIPINAS BUMANAT NA  PHILIPPINE VINES BREAKING NEWS VIRAL.”,CHINA VS PHILIPPINES ALREADY HIT!,Fake,TAGALOG,TAGALOG
